date,day,due_type,due_detail,mark_type,who,week
23/8/21,Monday,,,,,1
24/8/21,Tuesday,,,,,1
25/8/21,Wednesday,,,,,1
26/8/21,Thursday,,,,,1
27/8/21,Friday,,,,,1
28/8/21,Saturday,,,,,1
29/8/21,Sunday, , , , ,1
30/8/21,Monday, , , , ,2
31/8/21,Tuesday,Quiz,Q 1 ,Graded,Individual,2
1/9/21,Wednesday,Lab,L 1,Graded,individual,2
2/9/21,Thursday, , , , ,2
3/9/21,Friday,,,,,2
4/9/21,Saturday,,,,,2
5/9/21,Sunday, , , , ,2
6/9/21,Monday,,,,,3
7/9/21,Tuesday,Quiz,Q 2,Graded,Individual,3
8/9/21,Wednesday,Lab,L 2,Graded,Team,3
9/9/21,Thursday,,,,,3
10/9/21,Friday,Homework,HW 1,Graded,Individual,3
11/9/21,Saturday,,,,,3
12/9/21,Sunday, , , , ,3
13/9/21,Monday,,,,,4
14/9/21,Tuesday,Quiz,Q 3,Graded,Individual,4
15/9/21,Wednesday,Lab,L 3,Graded,Team,4
16/9/21,Thursday,Feedback survey,Peer,Graded,Individual,4
17/9/21,Friday,,,,,4
18/9/21,Saturday,,,,,4
19/9/21,Sunday, , , , ,4
20/9/21,Monday,,,,,5
21/9/21,Tuesday,Quiz,Q 4,Graded,Individual,5
22/9/21,Wednesday,Lab,L 4,Graded,Team,5
23/9/21,Thursday,,,,,5
24/9/21,Friday,Exam,E 1,Graded,Individual,5
25/9/21,Saturday,,,,,5
26/9/21,Sunday, , , , ,5
27/9/21,Monday,,,,,6
28/9/21,Tuesday,Quiz,Q 5,Graded,Individual,6
29/9/21,Wednesday,Lab,L 5,Graded,Team,6
30/9/21,Thursday,Feedback survey,Course,Not graded,Individual,6
1/10/21,Friday,Homework,HW 2,Graded,Individual,6
2/10/21,Saturday,,,,,6
3/10/21,Sunday, , , , ,6
4/10/21,Monday,,,,,7
5/10/21,Tuesday, , , , ,7
6/10/21,Wednesday,,,,,7
7/10/21,Thursday,,,,,7
8/10/21,Friday,Project,Proposal,Graded,Team,7
9/10/21,Saturday,,,,,7
10/10/21,Sunday, , , , ,7
11/10/21,Monday, , , , ,8
12/10/21,Tuesday,Quiz,Q 6,Graded,Individual,8
13/10/21,Wednesday,Lab,L 6,Graded,Team,8
14/10/21,Thursday,Feedback survey,Peer,Graded,Individual,8
15/10/21,Friday,Homework,HW 3,Graded,Individual,8
16/10/21,Saturday,,,,,8
17/10/21,Sunday, , , , ,8
18/10/21,Monday,Project,Revise,Not graded,Team,9
19/10/21,Tuesday,Quiz,Q 7,Graded,Individual,9
20/10/21,Wednesday,Lab,L 7,Graded,Team,9
21/10/21,Thursday, , , , ,9
22/10/21,Friday,,,,,9
23/10/21,Saturday,,,,,9
24/10/21,Sunday, , , , ,9
25/10/21,Monday,,,,,10
26/10/21,Tuesday,Quiz,Q 8,Graded,Individual,10
27/10/21,Wednesday,Lab,L 8,Graded,Team,10
28/10/21,Thursday,Feedback survey,Peer,Graded,Individual,10
29/10/21,Friday,Exam,E 2,Graded,Individual,10
30/10/21,Saturday,,,,,10
31/10/21,Sunday, , , , ,10
1/11/21,Monday,,,,,11
2/11/21,Tuesday,Quiz,Q 9,Graded,Individual,11
3/11/21,Wednesday,Lab,L 9,Graded,Team,11
4/11/21,Thursday,,,,,11
5/11/21,Friday,Homework,HW 4,Graded,Individual,11
6/11/21,Saturday, , , , ,11
7/11/21,Sunday, , , , ,11
8/11/21,Monday,,,,,12
9/11/21,Tuesday,Quiz,Q 10,Graded,Individual,12
10/11/21,Wednesday,Lab,L 10,Graded,Team,12
11/11/21,Thursday,Feedback survey,Peer,Graded,Individual,12
12/11/21,Friday, , , , ,12
13/11/21,Saturday,,,,,12
14/11/21,Sunday,,,,,12
15/11/21,Monday,,,,,13
16/11/21,Tuesday,Quiz,Q 11,Graded,Individual,13
17/11/21,Wednesday,Project,Present ,Graded,Team,13
18/11/21,Thursday,,,,,13
19/11/21,Friday,Homework,HW 5/Pres.,Graded,Indiv./Team,13
20/11/21,Saturday,Feedback survey,Peer,Graded,Individual,13
21/11/21,Sunday,,,,,13
22/11/21,Monday,Project,Present ,Graded,Team,14
23/11/21,Tuesday,,,,,14
24/11/21,Wednesday,,,,,14
25/11/21,Thursday,,,,,14
26/11/21,Friday,,,,,14
27/11/21,Saturday,,,,,14
28/11/21,Sunday,,,,,14
29/11/21,Monday,,,,,15
30/11/21,Tuesday,Quiz,Q 12,Graded,Individual,15
1/12/21,Wednesday,Lab ,L 11,Graded,Team,15
2/12/21,Thursday,Feedback survey,Peer,Graded,Individual,15
3/12/21,Friday,,,,,15
4/12/21,Saturday,,,,,15
5/12/21,Sunday,,,,,15
6/12/21,Monday,,,,,16
7/12/21,Tuesday,,,,,16
8/12/21,Wednesday,Exam,Final,Graded,Individual,16
9/12/21,Thursday,,,,,16
10/12/21,Friday,,,,,16
11/12/21,Saturday,,,,,16
12/12/21,Sunday,,,,,16